randomise_blocks,randomise_trials,display,video_fname,ANSWER,tour_string,mascot_color_id,fam_string,trial_number,phase_id,stim_type,mascot_name,action_bare,video_context,action_number,mascot_name_format_matched
,,test_trials,Chiba-kun_dancing_dancing-with-fireworks-1.mp4,,,,,28,recog_random,lure,Chiba-kun,Chiba-kun_dancing_dancing-with-fireworks,dancing,1.0,
,,test_trials,Jarbo_street_walking-1.mp4,,,,,29,recog_random,studied,Jarbo,Jarbo_street_walking,street,1.0,
,,test_trials,Chiba-kun_office-with-woman_showing-poster-0.mp4,,,,,30,recog_random,studied,Chiba-kun,Chiba-kun_office-with-woman_showing-poster,office-with-woman,0.0,
,,test_trials,Chiba-kun_running_running-with-man-0.mp4,,,,,31,recog_random,studied,Chiba-kun,Chiba-kun_running_running-with-man,running,0.0,
,,test_trials,Chiba-kun_reporters_interview-0.mp4,,,,,32,recog_random,studied,Chiba-kun,Chiba-kun_reporters_interview,reporters,0.0,
,,test_trials,Shimanekko_clothing-design_looking-0.mp4,,,,,33,recog_random,lure,Shimanekko,Shimanekko_clothing-design_looking,clothing-design,0.0,
,,test_trials,Shimanekko_clothing-design_waving-with-dressed-up-woman-0.mp4,,,,,34,recog_random,lure,Shimanekko,Shimanekko_clothing-design_waving-with-dressed-up-woman,clothing-design,0.0,
,,test_trials,Kapal_white-hills_walking-1.mp4,,,,,35,recog_random,studied,Kapal,Kapal_white-hills_walking,white-hills,1.0,
,,test_trials,Jarbo_ammusement-ride-2_meeting-workers-0.mp4,,,,,36,recog_random,lure,Jarbo,Jarbo_ammusement-ride-2_meeting-workers,ammusement-ride-2,0.0,
,,test_trials,Shimanekko_outside-house_walking-with-mascot-0.mp4,,,,,37,recog_random,lure,Shimanekko,Shimanekko_outside-house_walking-with-mascot,outside-house,0.0,
,,test_trials,Chiba-kun_beach_rescued-0.mp4,,,,,38,recog_random,lure,Chiba-kun,Chiba-kun_beach_rescued,beach,0.0,
