randomise_blocks,randomise_trials,display,video_fname,ANSWER,tour_string,mascot_color_id,fam_string,trial_number,phase_id,stim_type,mascot_name,action_bare,video_context,action_number,mascot_name_format_matched
,,instructions,none,,,,,0,overall_instructions,none,none,none,none,0.0,
,,enc_instructions,none,,,,,0,instructions,none,none,none,none,0.0,
,,mascot_familiarization,barasai_alpha.png,,,,,0,mascot_familiarization_random,mascot_stills,barasai,barasai_alpha.png,,,
,,mascot_familiarization,takinomichi-yuzuru.jpeg,,,,,1,mascot_familiarization_random,mascot_stills,takinomichi-yuzuru.jpeg,takinomichi-yuzuru.jpeg,,,
,,mascot_familiarization,jarbo.jpg,,,,,2,mascot_familiarization_random,mascot_stills,jarbo.jpg,jarbo.jpg,,,
,,mascot_familiarization,ono-joe.jpeg,,,,,3,mascot_familiarization_random,mascot_stills,ono-joe.jpeg,ono-joe.jpeg,,,
,,fam_enc_transition,none,,,,,0,instructions,none,none,none,none,0.0,
,,study_trials,Barasai_park_waving-0.mp4,,,,,0,enc_random,studied,Barasai,Barasai_park_waving,park,0.0,
,,study_trials,Jarbo_mall-2_dancing-0.mp4,,,,,1,enc_random,studied,Jarbo,Jarbo_mall-2_dancing,mall-2,0.0,
,,study_trials,Jarbo_train-station_waving-0.mp4,,,,,2,enc_random,studied,Jarbo,Jarbo_train-station_waving,train-station,0.0,
,,study_trials,TakinomichiYuzuru_cheerleaders_dancing-behind-banner-0.mp4,,,,,3,enc_random,studied,TakinomichiYuzuru,TakinomichiYuzuru_cheerleaders_dancing-behind-banner,cheerleaders,0.0,
,,study_trials,TakinomichiYuzuru_waterfall-3_entering-train-turnstile-0.mp4,,,,,4,enc_random,studied,TakinomichiYuzuru,TakinomichiYuzuru_waterfall-3_entering-train-turnstile,waterfall-3,0.0,
,,study_trials,TakinomichiYuzuru_dance-with-large-group_dance-with-black-shirts-5-2.mp4,,,,,5,enc_random,studied,TakinomichiYuzuru,TakinomichiYuzuru_dance-with-large-group_dance-with-black-shirts-5,dance-with-large-group,2.0,
,,study_trials,Jarbo_zoo-2_feeding-giraffe-1.mp4,,,,,6,enc_random,studied,Jarbo,Jarbo_zoo-2_feeding-giraffe,zoo-2,1.0,
,,study_trials,Barasai_train_watching-train-1.mp4,,,,,7,enc_random,studied,Barasai,Barasai_train_watching-train,train,1.0,
,,study_trials,TakinomichiYuzuru_waterfall-9_skipping-0.mp4,,,,,8,enc_random,studied,TakinomichiYuzuru,TakinomichiYuzuru_waterfall-9_skipping,waterfall-9,0.0,
,,study_trials,Jarbo_group-dance-in-gym_dancing-together-0.mp4,,,,,9,enc_random,studied,Jarbo,Jarbo_group-dance-in-gym_dancing-together,group-dance-in-gym,0.0,
,,study_trials,OnoJoe_lakeside_dancing-0.mp4,,,,,10,enc_random,studied,OnoJoe,OnoJoe_lakeside_dancing,lakeside,0.0,
,,study_trials,Barasai_relay-race_running-0.mp4,,,,,11,enc_random,studied,Barasai,Barasai_relay-race_running,relay-race,0.0,
,,study_trials,OnoJoe_suburban-area_dancing-1.mp4,,,,,12,enc_random,studied,OnoJoe,OnoJoe_suburban-area_dancing,suburban-area,1.0,
,,study_trials,Jarbo_school-auditorium_dance-routine-1.mp4,,,,,13,enc_random,studied,Jarbo,Jarbo_school-auditorium_dance-routine,school-auditorium,1.0,
,,study_trials,Barasai_dance-with-green-performers_dancing-3.mp4,,,,,14,enc_random,studied,Barasai,Barasai_dance-with-green-performers_dancing,dance-with-green-performers,3.0,
,,study_trials,OnoJoe_small-crowd-2_touching-hair-0.mp4,,,,,15,enc_random,studied,OnoJoe,OnoJoe_small-crowd-2_touching-hair,small-crowd-2,0.0,
,,study_trials,Jarbo_group-dance-on-stage_dancing-0.mp4,,,,,16,enc_random,studied,Jarbo,Jarbo_group-dance-on-stage_dancing,group-dance-on-stage,0.0,
,,study_trials,Jarbo_factory-1_walking-0.mp4,,,,,17,enc_random,studied,Jarbo,Jarbo_factory-1_walking,factory-1,0.0,
,,study_trials,OnoJoe_city-overlook_dancing-1.mp4,,,,,18,enc_random,studied,OnoJoe,OnoJoe_city-overlook_dancing,city-overlook,1.0,
,,study_trials,OnoJoe_driveway-infront-of-building_dancing-0.mp4,,,,,19,enc_random,studied,OnoJoe,OnoJoe_driveway-infront-of-building_dancing,driveway-infront-of-building,0.0,
,,study_trials,OnoJoe_modern-building_dancing-0.mp4,,,,,20,enc_random,studied,OnoJoe,OnoJoe_modern-building_dancing,modern-building,0.0,
,,study_trials,TakinomichiYuzuru_dance-with-large-group_dance-with-black-shirts-1-0.mp4,,,,,21,enc_random,studied,TakinomichiYuzuru,TakinomichiYuzuru_dance-with-large-group_dance-with-black-shirts-1,dance-with-large-group,0.0,
,,study_trials,OnoJoe_interview-in-street-2_walking-with-interviewer-0.mp4,,,,,22,enc_random,studied,OnoJoe,OnoJoe_interview-in-street-2_walking-with-interviewer,interview-in-street-2,0.0,
,,study_trials,TakinomichiYuzuru_dance-with-large-group_dance-with-black-shirts-2-0.mp4,,,,,23,enc_random,studied,TakinomichiYuzuru,TakinomichiYuzuru_dance-with-large-group_dance-with-black-shirts-2,dance-with-large-group,0.0,
