,mascot_name,phase_id,video_context,Hit_Rate
9546,Kounudoun,recog_ordered,fair,0.5344827586206896
9547,Jarbo,recog_ordered,meeting-2,0.13
9548,Kapal,recog_ordered,meet-and-greet,0.3939393939393939
9549,Chiba-kun,recog_ordered,sleeping,0.43478260869565216
9550,Kounudoun,recog_ordered,street-fair-2,0.4098360655737705
9551,Jarbo,recog_ordered,mall-3,0.43564356435643564
9552,Kapal,recog_ordered,white-hills,0.4717948717948718
9553,Chiba-kun,recog_ordered,farm,0.5
9554,Kounudoun,recog_ordered,stage-with-singers,0.2892561983471074
9555,Jarbo,recog_ordered,school-auditorium,0.42105263157894735
9556,Kapal,recog_ordered,bathtub,0.44642857142857145
9557,Chiba-kun,recog_ordered,waterfront,0.39316239316239315
9558,Kounudoun,recog_ordered,with-tourist-kids,0.39344262295081966
9559,Jarbo,recog_ordered,mall-1,0.27906976744186046
9560,Kapal,recog_ordered,interview,0.35275080906148865
9561,Chiba-kun,recog_ordered,walking-in-street,0.6625
9562,Kounudoun,recog_ordered,street-fair-3,0.3140495867768595
9563,Jarbo,recog_ordered,cheerleaders,0.21212121212121213
