,mascot_name,phase_id,video_context,Hit_Rate
9182,Jarbo,recog_random,group-dance-2,0.5
9183,Jarbo,recog_random,meeting-2,0.13
9184,Jarbo,recog_random,group-dance-1,0.29292929292929293
9185,Jarbo,recog_random,street,0.3691588785046729
9186,Kapal,recog_random,white-hills,0.4717948717948718
9187,Kounudoun,recog_random,fair,0.5344827586206896
9188,Chiba-kun,recog_random,tea-ceremony,0.3081395348837209
9189,Kounudoun,recog_random,sidewalk-2,0.336283185840708
9190,Jarbo,recog_random,bus,0.25471698113207547
9191,Chiba-kun,recog_random,gondala,0.5555555555555556
9192,Jarbo,recog_random,mall-2,0.3854166666666667
9193,Chiba-kun,recog_random,running,0.4729241877256318
9194,Kapal,recog_random,spinning-soccer-ball,0.3176470588235294
9195,Jarbo,recog_random,ammusement-ride-2,0.38
9196,Kapal,recog_random,riding-chair,0.3170731707317073
9197,Kounudoun,recog_random,street-fair-2,0.4098360655737705
9198,Chiba-kun,recog_random,train-station,0.2748091603053435
9199,Kounudoun,recog_random,doorway,0.35537190082644626
9200,Jarbo,recog_random,zoo-1,0.391304347826087
9201,Chiba-kun,recog_random,town,0.3218390804597701
9202,Kounudoun,recog_random,signing-table,0.38016528925619836
9203,Kapal,recog_random,hallway,0.40273972602739727
9204,Kounudoun,recog_random,stairs-of-building,0.19298245614035087
9205,Kounudoun,recog_random,stage-with-singers,0.2892561983471074
9206,Chiba-kun,recog_random,office-with-woman,0.4
9207,Kounudoun,recog_random,beach,0.38911290322580644
9208,Chiba-kun,recog_random,pot,0.4891304347826087
9209,Kapal,recog_random,meet-and-greet,0.3939393939393939
9210,Chiba-kun,recog_random,pig-pen,0.43157894736842106
9211,Chiba-kun,recog_random,running,0.4729241877256318
9212,Jarbo,recog_random,building-3,0.35106382978723405
9213,Kounudoun,recog_random,stage-with-banner,0.48760330578512395
9214,Kounudoun,recog_random,tree-on-street,0.504424778761062
9215,Kapal,recog_random,dance-tutorial,0.5416666666666666
9216,Chiba-kun,recog_random,reporters,0.21621621621621623
9217,Jarbo,recog_random,group-dance-in-gym,0.5304347826086957
9218,Kapal,recog_random,outside-of-building,0.3333333333333333
9219,Kapal,recog_random,dance-performance,0.23529411764705882
9220,Kapal,recog_random,front-desk,0.27380952380952384
9221,Jarbo,recog_random,building-2,0.4778761061946903
9222,Jarbo,recog_random,ammusement-ride-1,0.4537037037037037
9223,Chiba-kun,recog_random,dancing,0.34854771784232363
9224,Kounudoun,recog_random,grass,0.5206611570247934
9225,Chiba-kun,recog_random,stairs,0.3
9226,Kounudoun,recog_random,street-fair-3,0.3140495867768595
9227,Kapal,recog_random,booth,0.26373626373626374
9228,Kounudoun,recog_random,street-fair-1,0.30327868852459017
9229,Jarbo,recog_random,cheerleaders,0.21212121212121213
9230,Chiba-kun,recog_random,waterfront,0.39316239316239315
9231,Jarbo,recog_random,school-auditorium,0.42105263157894735
9232,Kounudoun,recog_random,outside-grocery-store,0.36607142857142855
9233,Jarbo,recog_random,group-dance-on-stage,0.5108695652173914
9234,Chiba-kun,recog_random,restaurant-alone,0.4225352112676056
9235,Kapal,recog_random,bathtub,0.44642857142857145
9236,Chiba-kun,recog_random,sunrise,0.39215686274509803
9237,Kounudoun,recog_random,auditroium-stage,0.48514851485148514
9238,Kounudoun,recog_random,auditorium,0.2857142857142857
9239,Chiba-kun,recog_random,waterfront,0.39316239316239315
9240,Kounudoun,recog_random,road-by-water,0.17272727272727273
9241,Kapal,recog_random,interview,0.35275080906148865
9242,Chiba-kun,recog_random,train-station,0.2748091603053435
